"Source";"nr.results"
"'A grief observed'  The experience of HIV-related illness and death among w...  EBSCOhost";12
"'A vengefulness of the impotent'  The pain of in-group inferiority and scha...  EBSCOhost";23
"'All in a Day's Work'  How Follower Individual Differences and Justice Perc...  EBSCOhost";24
"'But we've been getting better lately'  Comparing prospective and retrospec...  EBSCOhost";18
"'Did you have a nice evening ' A day-level study on recovery experiences, s...  EBSCOhost";1
"'Do I know you '  The role of significant others in general social percepti...  EBSCOhost";35
"'Eating lightly' and the self-presentation of femininity  EBSCOhost";23
"'Express Yourself'  Culture and the Effect of Self-Expression on Choice  EBSCOhost";40
"'God made me a girl'  Sex-category constancy judgments and explanations rev...  EBSCOhost";18
"'Good, you identified the suspect'  Feedback to eyewitnesses distorts their...  EBSCOhost";2
"'How long will I suffer ' versus 'How long will you suffer ' A self-other e...  EBSCOhost";47
"'I'm OK but You're Not' and Other Peer-Relational Schemas  Explaining Indiv...  EBSCOhost";26
"'I Am Us'  Negative Stereotypes as Collective Threats  EBSCOhost";55
"'I knew we would win'  Hindsight bias for favorable and unfavorable team de...  EBSCOhost";24
"'I know you self-handicapped last exam'  Gender differences in reactions to...  EBSCOhost";112
"'I love you more today than yesterday'  Romantic partners' perceptions of c...  EBSCOhost";5
"'I show how you feel'  Motor mimicry as a communicative act  EBSCOhost";3
"'If I had it to do over again...'  Midlife review, midcourse corrections, a...  EBSCOhost";24
"'If only I weren't' versus 'If only I hadn't'  Distinguishing shame and gui...  EBSCOhost";16
"'It's Not My Fault-But Only I Can Change It'  Counterfactual and Prefactual...  EBSCOhost";35
"'It's the End of the World as We Know It'  Threat and the Spatial-Symbolic ...  EBSCOhost";24
"'Me versus just us versus us all' categorization and cooperation in nested ...  EBSCOhost";46
"'Mood contagion'  The automatic transfer of mood between persons  EBSCOhost";22
"'Mostly straight' young women  Variations in sexual behavior and identity d...  EBSCOhost";2
"'Multiple inference-inviting properties' of interpersonal verbs  Event inst...  EBSCOhost";20
"'Naive cynicism' in everyday theories of responsibility assessment  On bias...  EBSCOhost";32
"'Not Another Meeting!' Are Meeting Time Demands Related to Employee Well-Be...  EBSCOhost";1
"'Remember where you last saw that card'  Children's production of external ...  EBSCOhost";12
"'STOP regain'  Are there negative effects of daily weighing   EBSCOhost";4
"'Thanks for sharing that'  Ruminators and their social support networks  EBSCOhost";4
"'The part of me that you bring out'  Ideal similarity and the Michelangelo ...  EBSCOhost";11
"'Their ideas of beauty are, on the whole, the same as ours'  Consistency an...  EBSCOhost";31
"'They saw a negotiation'  Partisanship and involvement  EBSCOhost";13
"'Unlearning' automatic biases  The malleability of implicit prejudice and s...  EBSCOhost";12
"'Walking on eggshells'  How expressing relationship insecurities perpetuate...  EBSCOhost";46
"'What else could he have done ' Creating false answers in child witnesses b...  EBSCOhost";16
"'Who am I  Why am I here ' Self-esteem, self-clarity, and prototype matchin...  EBSCOhost";5
"'You can try or you can just give up'  The impact of perceived control and ...  EBSCOhost";17
"(Close) distance makes the heart grow fonder  Improving implicit racial att...  EBSCOhost";22
"(Why) do I think what you think  Epistemic social tuning and implicit preju...  EBSCOhost";17
"“Automatic or the People ”";2
"“Blaming The Victim” Under Memory Load";17
"“Gaze leading”  Initiating simulated joint attention influences eye movemen...  EBSCOhost";11
"“He hasn’t got the real toolkit!” Young children’s reasoning about real not...  EBSCOhost";32
"“He Loves Me, He Loves Me Not . . . ”";8
"“I'll have one of each”  How separating rewards into (meaningless) categori...  EBSCOhost";26
"“I still haven’t found what I’m looking for”  Parental privacy invasion pre...  EBSCOhost";3
"“Impulsivity”  Relations between self-report and behavior  EBSCOhost";5
"“In-Group Love” and “Out-Group Hate” as Motives for Individual Participation in Intergroup Conflict";8
"“Life stage-specific” variations in performance in response to age stereoty...  EBSCOhost";18
"“Old dogs” and new skills  How clinician characteristics relate to motivati...  EBSCOhost";15
"“Perceptual Scotomas”";3
"“Prejudiced” behavior without prejudice  Beliefs about the malleability of ...  EBSCOhost";64
"“Robovie, you'll have to go into the closet now”  Children's social and mor...  EBSCOhost";8
"“Shall we blick ”  Novel words highlight actors' underlying intentions for ...  EBSCOhost";10
"“That Is Bloody Revolting!”";8
"“The Mind Is Willing, but the Flesh Is Weak”";8
"“The Way I Am Is the Way You Ought to Be”";32
"“Treating” Prejudice";21
"“We All Look the Same to Me”";25
"“We are people”  Ingroup humanization as an existential defense  EBSCOhost";18
"“What about me ” Perceptions of exclusion and Whites' reactions to multicul...  EBSCOhost";38
"“Who can help me fix this toy ” The distinction between causal knowledge an...  EBSCOhost";17
"“You Talkin’ to Me ”";6
